product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color,revenue
"iPad mini (2021) (64GB, Blue)",Tablets,499.0,266.0,807.0,Apple,8.75,151.0,2/2/2022,blue,402693.0
K55 RGB (Red),Keyboards,49.99,0.0,1117.0,Corsair,8.5,455.0,8/14/2022,red,55838.83
Fenix 7 (Purple),Watches,699.99,0.0,530.0,Garmin,9.2,305.0,4/20/2022,purple,370994.7
"Mate 40 (256GB, Orange)",Smartphones,899.0,182.0,1030.0,Huawei,8.5,500.0,10/23/2024,orange,925970.0
Rival 600 (Red),Mice,79.99,35.0,1439.0,SteelSeries,9.25,556.0,9/29/2020,red,115105.60999999999
Technic Bugatti Chiron (42083) (Gray),Toys,349.99,139.0,989.0,LEGO,9.2,177.0,7/28/2023,gray,346140.11
"MediaPad T5 (64GB, Brown)",Tablets,220.0,0.0,980.0,Huawei,7.8,541.0,2/6/2025,brown,215600.0
"Manchester United Home Jersey (Orange, M)",Clothing,90.0,425.0,933.0,Adidas,8.75,211.0,11/9/2022,orange,83970.0
Little People School Bus (White),Toys,15.99,0.0,786.0,Fisher-Price,8.75,55.0,3/12/2025,white,12568.14
"MatePad T10s (512GB, Yellow)",Tablets,250.0,19.0,702.0,Huawei,7.5,337.0,3/26/2021,yellow,175500.0
Sculpt Comfort Mouse (White),Mice,29.99,365.0,1005.0,Microsoft,8.5,326.0,10/3/2022,white,30139.949999999997
"Urbanite XL (Wired, White)",Headphones,79.99,447.0,882.0,Sennheiser,8.6,199.0,9/22/2023,red,70551.18
Natural Ergonomic Keyboard 4000 (Green),Keyboards,49.99,251.0,669.0,Microsoft,8.2,95.0,5/19/2024,green,33443.310000000005
"Workout Plus (Brown, EU 46)",Shoes,70.0,248.0,656.0,Reebok,8.5,7.0,2/26/2020,brown,45920.0
XEGS (White),Gaming Consoles,200.0,443.0,1067.0,Atari,6.5,561.0,3/22/2023,white,213400.0
Rival 3 (Blue),Mice,29.99,0.0,1128.0,SteelSeries,8.75,377.0,6/8/2020,blue,33828.72
BCI600XL Smart Scoop (Yellow),Kitchen,299.95,38.0,1148.0,Breville,8.75,439.0,8/15/2022,yellow,344342.6
Lancehead TE (Green),Mice,79.99,7.0,728.0,Razer,8.75,8.0,10/1/2023,green,58232.719999999994
G502 HERO (Red),Mice,49.99,20.0,1534.0,Logitech,9.25,630.0,4/29/2021,red,76684.66
Switch OLED (Red),Gaming Consoles,350.0,0.0,1544.0,Nintendo,9.2,152.0,5/14/2020,red,540400.0
"iPad Pro 11 (2018) (128GB, Purple)",Tablets,699.0,172.0,1266.0,Apple,8.5,698.0,4/30/2021,purple,884934.0
