"id","age_certification"
"ts300399","TV-MA"
"tm84618","R"
"tm154986","R"
"tm127384","PG"
"tm120801",NA
"ts22164","TV-14"
"tm70993","R"
"tm14873","R"
"tm119281","R"
"tm98978","R"
"tm44204",NA
"tm67378","PG-13"
"tm69997","R"
"tm16479",NA
"tm135083",NA
"tm89386","PG"
"tm156453","R"
"tm14350",NA
"tm81728",NA
"tm94651",NA
"tm27298",NA
"tm100027",NA
"tm19608",NA
"tm204541",NA
"tm259855",NA
"tm356209",NA
"ts45948","TV-MA"
"tm200475",NA
"tm90896",NA
"tm336403",NA
"tm107372",NA
"tm358653",NA
"tm259684",NA
"tm403346",NA
"tm16812",NA
"ts20681","TV-PG"
"tm155787","R"
"tm22327","R"
"tm180542","R"
"tm138875","R"
"tm2386","R"
"tm133087","PG"
"tm177480","R"
"tm54450","R"
"ts22082","TV-PG"
"ts21715","TV-Y"
"ts20678","TV-G"
"tm145608","PG-13"
"ts25028","TV-G"
"tm147710","PG-13"
"tm142895","PG-13"
"tm20712","R"
"tm117580","R"
"ts23753","TV-PG"
"tm130586","R"
"ts987","TV-Y"
"tm721687",NA
"tm40103",NA
"tm125985",NA
"ts2760","TV-Y"
"tm21953","R"
"tm126769",NA
"tm152839",NA
"tm49037",NA
"tm62924","R"
"tm52815",NA
"tm159912",NA
"tm133914",NA
"tm38736",NA
"tm51083",NA
"tm137013",NA
"tm157603",NA
"tm258072",NA
"tm114356",NA
"tm157853",NA
"tm132164","R"
"tm446654",NA
"tm348735",NA
"tm151332",NA
"tm342996",NA
"tm24110",NA
"tm371359",NA
"tm55091",NA
"ts63001","TV-PG"
"tm311264",NA
"tm411457",NA
"tm172482",NA
"tm419052",NA
"tm47673",NA
"tm52274",NA
"tm147829",NA
"ts20981","TV-PG"
"tm107744","PG-13"
"ts22176","TV-PG"
"tm15897","R"
"ts21223","TV-Y7"
"tm191013","R"
"tm122434","PG-13"
"tm25947","R"
"tm43808","R"
"ts20339","TV-14"
"ts5145","TV-14"
"tm191110","PG-13"
"ts34435","TV-14"
"tm192037","R"
"tm27395","PG-13"
"tm113513","PG-13"
"ts20983","TV-14"
"tm192405","PG-13"
"tm116655","R"
"ts21567","TV-14"
"tm116488","R"
"tm11556","R"
"tm56574","PG"
"ts20960","TV-Y7"
"tm53991","PG-13"
"tm49178","R"
"ts25252","TV-Y"
"tm191989","R"
"ts22193","TV-Y"
"ts22489","TV-PG"
"ts21034","TV-14"
"tm121879","PG"
"tm44402","R"
"tm187187","PG-13"
"ts16919","TV-G"
"tm6859","PG"
"tm118238","PG-13"
"tm111163","R"
"tm190835",NA
"tm192769","PG"
"tm187791","R"
"tm113576","PG"
"tm65686","PG-13"
"ts8570","TV-G"
"tm191387","PG-13"
"ts27693","TV-Y7"
"tm19494","PG-13"
"tm191772","PG-13"
"tm12499","PG-13"
"tm186589","R"
"tm189764","R"
"tm10739","R"
"tm1822","PG"
"tm55369","R"
"ts251477","TV-G"
"tm192431","R"
"ts22286","TV-Y7"
"tm192199","PG-13"
"ts11397","TV-Y7"
"tm56033","R"
"ts21581","TV-PG"
"tm117488","PG"
"tm190811","PG-13"
"tm191431","R"
"tm10811","R"
"tm49839","R"
"ts20918","TV-PG"
"ts21693","TV-PG"
"ts20939","TV-PG"
"ts21684","TV-MA"
"ts22080","TV-Y7"
"tm67635","G"
"tm320211",NA
"tm7073","G"
"ts28516","TV-MA"
"tm117873",NA
"tm55100","PG-13"
"tm64817","G"
"ts22039","TV-MA"
"tm188606",NA
"tm41525","R"
"tm189171","R"
"tm63514","PG-13"
"tm21911",NA
"tm188970",NA
"tm12876",NA
"ts224786","TV-MA"
"tm62176",NA
"tm52871",NA
"tm8687",NA
"tm104933",NA
"tm184326",NA
"tm62385","G"
"tm191614",NA
"tm110766",NA
"tm9898","G"
"tm47530",NA
"tm57169",NA
"tm192301","G"
"tm58893","PG"
"tm110160","PG-13"
"tm118438",NA
"tm424630",NA
"tm27601","PG-13"
"tm203186",NA
"tm128073",NA
"tm7951","PG"
"tm7135","NC-17"
"tm52083","PG-13"
"tm340430",NA
"tm7032",NA
"tm256669",NA
"tm64729",NA
"tm184224","PG-13"
"tm25389",NA
"tm34391",NA
"tm44776",NA
"tm334788",NA
"tm117840",NA
"tm42397",NA
"tm314602",NA
"tm255589",NA
"tm7810",NA
"tm210754",NA
"tm449775",NA
"ts4","TV-MA"
"ts20371","TV-PG"
"ts9","TV-MA"
"ts21465","TV-14"
"tm74402","R"
"tm91952","PG-13"
"ts288536","TV-PG"
"ts12724","TV-14"
"ts6644","TV-MA"
"ts8308","TV-PG"
"tm111828","PG-13"
"ts21469","TV-14"
"ts17156","TV-MA"
"ts22011","TV-PG"
"ts26091","TV-MA"
"tm150112","R"
"ts22337","TV-14"
"ts3371","TV-Y7"
"tm80906","PG-13"
"ts20604","TV-14"
"ts20573","TV-14"
"tm92641","PG-13"
"ts22099","TV-Y7"
"tm27911","R"
"ts21464","TV-G"
"tm88465","PG-13"
"tm172683","PG-13"
"ts11313","TV-14"
"ts21247","TV-14"
"ts20305","TV-PG"
"tm42877","R"
"tm39030",NA
"ts21511","TV-Y7"
"tm997728","R"
"ts17942","TV-14"
"tm89677","PG-13"
"tm78592","R"
"tm105329","R"
"ts30311","TV-G"
"tm139658","PG-13"
"tm26327","R"
"tm95477","R"
"tm154187","PG-13"
"ts22267","TV-MA"
"tm133767","R"
"ts2230","TV-14"
"tm45454","PG-13"
"tm26897","PG-13"
"tm133374","PG-13"
"tm195620","R"
"tm136808","R"
"tm70807","PG-13"
"ts19036","TV-Y7"
"tm93055","PG-13"
"tm85811",NA
"ts22456","TV-G"
"tm101914","R"
"tm131038","R"
"tm58382","R"
"tm35463","R"
"tm30603","PG-13"
"ts22018","TV-G"
"tm20959","PG-13"
"tm136308","R"
"tm29737","R"
"tm148270","PG-13"
"tm89036","R"
"tm46436","R"
"ts21197","TV-PG"
"ts21544","TV-Y7"
"tm150260","PG"
"ts31263","TV-14"
"ts30313",NA
"tm79895","R"
"ts12787","TV-14"
"tm116324","R"
"tm39828","R"
"tm23935","PG"
"tm78067","R"
"tm95252","R"
"tm32919","R"
"tm169949","PG-13"
"tm30205","R"
"tm40009","PG-13"
"tm141390","R"
"ts35155","TV-14"
"tm94606","R"
"ts15986","TV-MA"
"tm102337","R"
"ts22318","TV-G"
"tm159901","PG-13"
"tm74780","PG-13"
"ts30356","TV-Y"
"ts32186","TV-Y7"
"tm24088","PG-13"
"tm111600","R"
"tm88045","PG-13"
"tm78919","G"
"tm173066","PG-13"
"tm118637","PG-13"
"tm142564","PG-13"
"tm57190","PG-13"
"ts21706","TV-PG"
"tm137362","R"
"ts24028","TV-14"
"tm148379","PG"
"tm137342","R"
"tm90864","R"
"ts21740","TV-MA"
"tm32144","PG"
"tm141707","R"
"tm150214","R"
"tm81030","PG-13"
"ts687","TV-14"
"tm147211","R"
"ts31514","TV-Y"
"ts33559","TV-G"
"tm78671","R"
"ts26322","TV-14"
"ts12815","TV-G"
"tm27268","PG"
"tm86189",NA
"tm700","PG-13"
"tm101249","R"
"tm161263","PG-13"
"tm81270","PG-13"
"tm89684","PG"
"tm165593","PG-13"
"tm112381","R"
"tm39487","PG-13"
"ts23752","TV-MA"
"tm43399","PG"
"ts21421","TV-G"
"ts22005","TV-PG"
"ts20398",NA
"tm186461","G"
"tm29555","R"
"tm103095","R"
"tm97070","PG-13"
"tm101334","R"
"tm183963","PG"
"tm76428",NA
"tm77649","PG-13"
"tm86924","R"
"ts98340","TV-MA"
"tm26638","R"
"tm78189","R"
"ts20544","TV-14"
"ts23835","TV-Y"
"tm104880",NA
"ts30288","TV-14"
"ts38159","TV-Y7"
"tm22294","PG"
"tm100015","PG-13"
"ts25765","TV-14"
"ts21688","TV-14"
"tm83786","PG"
"tm130574","PG-13"
"tm114476","G"
"ts20535","TV-G"
"ts1893","TV-G"
"tm118462","PG-13"
"ts12701","TV-G"
"ts121176","TV-PG"
"tm86995","PG"
"ts20526","TV-14"
"ts23808","TV-MA"
"tm97544","PG"
"ts31593",NA
"ts27459",NA
"ts3666","TV-Y7"
"tm53999","PG"
"tm164557",NA
"tm80059","PG-13"
"tm135451",NA
"tm71558","PG"
"tm134235","PG-13"
"tm160800","R"
"tm22342","R"
"ts42914",NA
"tm22636","R"
"ts21967","TV-Y7"
"tm85549",NA
"tm100688",NA
"tm22493",NA
"ts14102",NA
"tm103732","R"
"tm73058","PG"
"tm138497","R"
"ts20358","TV-14"
"tm36475","G"
"tm144345","PG"
"tm76835","PG-13"
"tm38896","R"
"tm86051","R"
"ts74931","TV-PG"
"tm29269","PG-13"
"ts17028",NA
"tm91046",NA
"tm75022",NA
"tm41508","PG-13"
"ts67595","TV-14"
"tm49405","PG-13"
"tm82765","G"
"tm33981","PG-13"
"ts52849",NA
"tm95238","G"
"tm32885","PG-13"
"ts72322","TV-14"
"ts63295","TV-MA"
"ts23319","TV-Y"
"ts21695","TV-14"
"tm72587","PG-13"
"tm99776",NA
