"id","imdb_id","imdb_score","imdb_votes","tmdb_score","tmdb_popularity"
"ts300399",NA,NA,NA,NA,0.6
"tm84618","tt0075314",8.2,808582,8.179,40.965
"tm154986","tt0068473",7.7,107673,7.3,10.01
"tm127384","tt0071853",8.2,534486,7.811,15.461
"tm120801","tt0061578",7.7,72662,7.6,20.398
"ts22164","tt0063929",8.8,73424,8.306,17.617
"tm70993","tt0079470",8,395024,7.8,17.77
"tm14873","tt0066999",7.7,155051,7.5,12.817
"tm119281","tt0061418",7.7,112048,7.5,15.687
"tm98978","tt0080453",5.8,69844,6.156,50.324
"tm44204","tt0054953",7.5,50748,7.3,13.844
"tm67378","tt0060862",7.3,16446,7.1,13.123
"tm69997","tt0079807",8.1,5141,7.5,4.718
"tm16479","tt0047673",7.5,42488,7.2,8.915
"tm135083","tt0051390",7.5,4471,7.3,5.546
"tm89386","tt0191182",7.5,2460,7.3,4.305
"tm156453","tt0068562",6.2,418,6.1,1.268
"tm14350","tt0077751",7.2,1727,6,1.37
"tm81728","tt0064038",8.1,1958,8.5,1.265
"tm94651","tt0080653",2.1,25,4.9,3.98
"tm27298","tt0057357",7.6,2508,7.1,4.156
"tm100027","tt0079749",6.2,565,6.8,2.582
"tm19608","tt0047500",7.4,1219,7,2.184
"tm204541","tt0049761",6.7,610,5.9,0.849
"tm259855","tt0170799",6.1,47,5.2,0.6
"tm356209","tt0268639",6.4,84,6.3,0.792
"ts45948","tt0202477",8.1,2151,7,1.487
"tm200475","tt0169599",6.4,108,7.2,1.025
"tm90896","tt0074168",7.2,780,5.3,1.858
"tm336403","tt0230412",5.1,41,3.8,1.948
"tm107372","tt0071811",6.5,237,5.3,1.532
"tm358653","tt0157132",6.6,78,6,0.84
"tm259684","tt0170803",7.8,78,5,0.6
"tm403346","tt3290368",4.6,14,6,0.62
"tm16812","tt1219315",4.4,35,6,1.166
"ts20681","tt0098904",8.9,308824,8.301,130.213
"tm155787","tt0099685",8.7,1131681,8.463,50.387
"tm22327","tt0093058",8.3,729274,8.1,32.937
"tm180542","tt0087843",8.3,345714,8.453,28.937
"tm138875","tt0098635",7.7,216199,7.4,15.123
"tm2386","tt0087800",7.4,234068,7.3,48.358
"tm133087","tt0098384",7.3,54946,7.2,11.69
"tm177480","tt0087928",6.7,124881,6.6,25.533
"tm54450","tt0085333",6.7,81922,6.8,23.418
"ts22082","tt0083437",6.9,34115,7.5,50.267
"ts21715","tt0086815",6.5,5104,6.5,42.196
"ts20678","tt0096694",7.1,35034,8,19.855
"tm145608","tt0099077",7.8,139240,7.8,12.23
"ts25028","tt0072584",6.7,3145,6.8,5.935
"tm147710","tt0097958",7.5,185760,7.2,18.862
"tm142895","tt0097722",7.4,20680,7.3,19.449
"tm20712","tt0092948",7.6,19757,7.3,7.992
"tm117580","tt0091939",6.7,14472,6.707,7.416
"ts23753","tt0096643",6.5,2922,6.5,9.849
"tm130586","tt0082329",4.9,8524,5.7,19.116
"ts987","tt0081848",7.4,3545,7.5,8.55
"tm721687","tt13913068",6.7,388,NA,3.79
"tm40103","tt0095262",7.3,1693,6.7,8.092
"tm125985","tt0159510",7.2,1274,7.2,13.125
"ts2760","tt0329829",6.1,1785,7.2,37.647
"tm21953","tt0307403",7.2,660,7.2,1.843
"tm126769","tt0089108",8,6399,8.1,7.81
"tm152839","tt0259057",6.1,360,6.3,2.482
"tm49037","tt0159511",7.6,1236,7.5,12.741
"tm62924","tt0084352",7.9,15230,7.4,6.833
"tm52815","tt0208903",6.4,1476,5.3,7.879
"tm159912","tt0098999",7.6,8947,6.5,4.062
"tm133914","tt0213984",8.1,1522,6.9,1.801
"tm38736","tt0096286",6.7,502,6.2,1.485
"tm51083","tt0096179",5.9,387,5.8,1.01
"tm137013","tt0098237",7.2,863,5.9,1.981
"tm157603","tt0099429",6.6,5316,6.5,3.992
"tm258072","tt0090589",7,212,7,1.603
"tm114356","tt0091106",6,921,6.1,2.296
"tm157853","tt0099396",5.6,207,4.9,2.444
"tm132164",NA,NA,NA,7.5,3.377
"tm446654","tt0097926",5.4,197,6,1.418
"tm348735","tt0177505",5.1,92,5,1.374
"tm151332","tt0099858",6.5,658,5.3,0.817
"tm342996","tt0301231",6.3,245,NA,1.394
"tm24110","tt0094052",6.3,360,6.8,2.76
"tm371359","tt0239495",5.2,125,5,3.366
"tm55091","tt0095945",7.2,144,8,2.246
"ts63001","tt5944220",3.8,6,NA,1.4
"tm311264","tt0239682",4.8,69,NA,2.236
"tm411457","tt0358053",6.1,66,NA,1.756
"tm172482","tt0170148",6.1,297,5.8,6.052
"tm419052","tt0379272",6.3,70,7,0.986
"tm47673","tt0084042",7.3,1126,6.7,1.77
"tm52274","tt0084492",6.3,152,5.5,1.956
"tm147829","tt0100848",6.1,464,5.3,2.075
"ts20981","tt0239195",7.4,24687,7.4,54.19
"tm107744","tt0117060",7.1,420673,6.9,41.115
"ts22176","tt0118480",8.4,90196,8.3,88.851
"tm15897","tt0114369",8.6,1606270,8.352,51.633
"ts21223","tt14053732",7.4,198,7.633,115.356
"tm191013","tt0118749",7.9,261563,7.6,20.436
"tm122434","tt0109830",8.8,2021343,8.478,63.449
"tm25947","tt0208092",8.3,841435,7.8,25.203
"tm43808","tt0134119",7.4,207524,7.2,13.78
"ts20339","tt0388629",8.8,117129,8.764,143.457
"ts5145","tt6274074",7.8,3362,7.7,18.075
"tm191110","tt0120338",7.9,1146825,7.878,155.683
